"","rowid","edad","sexo","vive_solo","precioM2_m","Ocupado","Desocupado","Inactivo","educacion_Inicial..jard√.n..preescolar.","educacion_Primario","educacion_EGB","educacion_Secundario","educacion_Polimodal","educacion_Superior.no.universitario","educacion_Universitario","educacion_Post.universitario","educacion_Educaci√≥n.especial","Higiene","Seguridad","Arbolado","target"
"2724",3409,43,"MASCULINO","SI",1537.143,0.6206,0.0274,0.352,0.0402,0.1402,0.0137,0.3284,0.0206,0.1275,0.2931,0.0333,0.0029,67,35,5,0.48
"2725",4563,64,"FEMENINO","NO",2150,0.6755,0.0253,0.2992,0.0345,0.1526,0.0063,0.2759,0.023,0.1275,0.348,0.0272,0.0052,106,43,21,0.464387464387464
"2726",2314,34,"FEMENINO","NO",2150,0.7216,0.0412,0.2371,0.0321,0.1422,0.0275,0.2339,0.0459,0.1651,0.3211,0.0275,0.0046,106,43,21,0.457386363636364
"2727",3586,33,"MASCULINO","SI",2050,0.6662,0.0239,0.3098,0.0372,0.1895,0.0081,0.3395,0.0128,0.1012,0.2849,0.0233,0.0035,99,34,14,0.474576271186441
"2728",1978,63,"MASCULINO","SI",2138.889,0.6386,0.0421,0.3193,0.0447,0.1536,0.0028,0.3087,0.014,0.1327,0.3128,0.0293,0.0014,144,33,17,0.467048710601719
"2729",2769,24,"MASCULINO","SI",2150,0.7216,0.0412,0.2371,0.0321,0.1422,0.0275,0.2339,0.0459,0.1651,0.3211,0.0275,0.0046,106,43,21,0.507163323782235
"2730",1349,26,"MASCULINO","NO",1932.283,0.6233,0.0333,0.3434,0.0445,0.2103,0.0036,0.3101,0.0156,0.1226,0.2668,0.024,0.0024,115,35,22,0.53125
"2731",4895,40,"MASCULINO","NO",1837.283,0.6588,0.0315,0.3097,0.0549,0.2393,0.0044,0.3381,0.034,0.0812,0.2327,0.0143,0.0011,91,35,14,0.461538461538462
"2732",5862,24,"FEMENINO","SI",2093.75,0.6737,0.0404,0.2859,0.0239,0.1446,0.0106,0.2745,0.0212,0.1751,0.3276,0.0199,0.0027,161,23,19,0.464387464387464
"2733",4715,37,"FEMENINO","NO",1537.143,0.6206,0.0274,0.352,0.0402,0.1402,0.0137,0.3284,0.0206,0.1275,0.2931,0.0333,0.0029,67,35,5,0.464387464387464
"2734",3302,48,"FEMENINO","SI",1831.18,0.7447,0.0134,0.2418,0.0616,0.0849,0.0083,0.1531,0.0083,0.1065,0.4542,0.1215,0.0017,54,19,4,0.48
"2735",5560,64,"MASCULINO","SI",2138.889,0.6486,0.022,0.3295,0.0442,0.1656,0.0033,0.3212,0.0221,0.1203,0.2859,0.0331,0.0044,144,33,17,0.481375358166189
"2736",84,68,"MASCULINO","SI",2138.889,0.6486,0.022,0.3295,0.0442,0.1656,0.0033,0.3212,0.0221,0.1203,0.2859,0.0331,0.0044,144,33,17,0.409604519774011
"2737",481,43,"FEMENINO","SI",1537.143,0.5656,0.0333,0.4011,0.0425,0.1993,0.0098,0.3529,0.0327,0.1275,0.2173,0.0163,0.0016,67,35,5,0.455587392550143
"2738",2534,58,"FEMENINO","NO",1837.283,0.6466,0.0205,0.3329,0.0527,0.2188,0.002,0.3323,0.0263,0.1287,0.2229,0.0152,0.001,75,63,12,0.457386363636364
"2739",1095,41,"MASCULINO","SI",2447.257,0.6933,0.0229,0.2838,0.0266,0.1454,0.0124,0.3191,0.0106,0.1862,0.2642,0.0266,0.0089,106,43,21,0.502824858757062
"2740",3203,44,"FEMENINO","NO",1932.283,0.636,0.0337,0.3303,0.0333,0.1837,0.0161,0.3169,0.0402,0.1297,0.2618,0.0161,0.0023,91,35,14,0.474285714285714
"2741",1031,53,"FEMENINO","SI",2093.75,0.6328,0.0348,0.3324,0.0282,0.1325,0.0074,0.3117,0.0245,0.1313,0.335,0.0233,0.0061,115,35,22,0.502824858757062
"2742",102,26,"FEMENINO","NO",1837.283,0.6588,0.0315,0.3097,0.0549,0.2393,0.0044,0.3381,0.034,0.0812,0.2327,0.0143,0.0011,91,35,14,0.409604519774011
"2743",1886,21,"FEMENINO","SI",2150,0.6532,0.0218,0.325,0.0282,0.1532,0.0067,0.3226,0.0255,0.1237,0.293,0.0403,0.0067,139,40,38,0.456090651558074
"2744",1214,55,"MASCULINO","SI",2208.1795,0.6715,0.0173,0.3112,0.0422,0.1241,0.0169,0.2012,0.0265,0.1157,0.4217,0.0506,0.0012,94,34,12,0.502824858757062
"2745",1859,68,"MASCULINO","SI",2138.889,0.6486,0.022,0.3295,0.0442,0.1656,0.0033,0.3212,0.0221,0.1203,0.2859,0.0331,0.0044,144,33,17,0.456090651558074
"2746",752,53,"FEMENINO","SI",2138.889,0.6486,0.022,0.3295,0.0442,0.1656,0.0033,0.3212,0.0221,0.1203,0.2859,0.0331,0.0044,144,33,17,0.45014245014245
"2747",6041,39,"MASCULINO","SI",2150,0.6755,0.0253,0.2992,0.0345,0.1526,0.0063,0.2759,0.023,0.1275,0.348,0.0272,0.0052,106,43,21,0.464387464387464
"2748",5148,63,"MASCULINO","SI",2368.75,0.6555,0.0255,0.319,0.042,0.1305,0.0177,0.2091,0.0343,0.1471,0.365,0.0531,0.0011,180,29,21,0.461538461538462
"2749",3547,36,"FEMENINO","SI",2138.889,0.6336,0.0262,0.3402,0.0419,0.1794,0.0084,0.2368,0.0383,0.1447,0.3194,0.0287,0.0024,84,21,9,0.48
"2750",5133,54,"FEMENINO","NO",2093.75,0.6019,0.0405,0.3576,0.0339,0.1663,0.0106,0.2564,0.0233,0.1515,0.3294,0.0254,0.0032,115,35,22,0.461538461538462
"2751",1862,77,"FEMENINO","NO",1837.283,0.6466,0.0205,0.3329,0.0527,0.2188,0.002,0.3323,0.0263,0.1287,0.2229,0.0152,0.001,91,35,14,0.456090651558074
"2752",1491,74,"FEMENINO","SI",2447.257,0.6933,0.0229,0.2838,0.0266,0.1454,0.0124,0.3191,0.0106,0.1862,0.2642,0.0266,0.0089,106,43,21,0.53125
"2753",157,23,"FEMENINO","SI",1932.283,0.6464,0.0218,0.3318,0.0294,0.1602,0.008,0.287,0.0347,0.1148,0.3351,0.0294,0.0013,84,21,9,0.409604519774011
"2754",4487,18,"FEMENINO","NO",2093.75,0.6372,0.0295,0.3333,0.0317,0.1627,0.0026,0.2646,0.0278,0.1362,0.3439,0.0291,0.0013,115,35,22,0.452991452991453
"2755",2948,82,"FEMENINO","NO",2093.75,0.6328,0.0348,0.3324,0.0282,0.1325,0.0074,0.3117,0.0245,0.1313,0.335,0.0233,0.0061,115,35,22,0.474285714285714
"2756",5198,56,"FEMENINO","SI",2447.257,0.7025,0.0246,0.2729,0.0189,0.1368,0.0021,0.3053,0.0295,0.1516,0.3242,0.0274,0.0042,161,23,19,0.514285714285714
"2757",577,29,"MASCULINO","NO",2447.257,0.7009,0.0385,0.2606,0.0305,0.1373,0.0051,0.3085,0.0136,0.1237,0.3271,0.0525,0.0017,106,43,21,0.455587392550143
