"id","order","start.url","titulo","barra","club","pais","cancion"
"65","1648749161-3619","https://barrabrava.net/santiago-wanderers/los-panzers/letra/los-panzers-te-vienen-alentar/","""Los Panzers te Vienen Alentar""","Los Panzers"," Santiago Wanderers","Chile","Los Panzers te vienen alentar... Dficil sera parar ... Al Roma hay que vasilar Te aliento porque soy Choro del Puerto, mi vida seria un infierno si no te viera jugar. Esta es la hinchada que siempre alienta la que la vuelta la quiere dar la que te sigue siempre a todos lados la que al hijo culea sin parar por eso pongan mas huevos caturros la camiseta tienes que mojar con mucho aWante, pasion y orgullo. Hasta la muerte te vamos alentar."
"66","1648754123-5892","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/el-dia-que-me-muera-me-vas-a-escuchar/","""El día que me muera me vas a escuchar""","La Banda de la Quema"," Huracán","Argentina","Y dale dale dale dale dale gloooo Y dale dale dale dale daleeee gloooooo Te llevamos en el corazón A todas partes siempre voy con vos El día que me muera me vas a escuchar Porque yo desde el cielo te voy a alentar Soy quemero desde que nací Y quemero me voy a morir!"
"67","1648752139-4933","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/cantemos-todos-que-la-boca-esta-de-luto/","""Cantemos todos que la boca está de luto""","Los Borrachos del Tablón"," River Plate","Argentina","Cantemos todos que Nuñez está de fiesta, cantemos todos que Nuñez es carnaval. Cantemos todos que la boca está de luto, que son todos negros putos de bolivia y paraguay"
"68","1648750157-4066","https://barrabrava.net/deportivo-fas/turba-roja/letra/pideme-la-luna-te-la-bajare/","""Pídeme la luna te la bajare""","Turba Roja"," Deportivo FAS","El Salvador","Pídeme la luna te la bajare Pídeme cincuenta para el papel Pero no me pidas que no venga mas Porque el fasito es una enfermedad Pídeme la luna te la bajare Pídeme cincuenta para el papel Pero no me pidas que no venga más Porque el fasito es una enfermedad No pare la barra mas loca de todas Que sigue al fasito donde quiera que va No pare la barra mas loca de todas Que sigue al fasito donde quiera que va"
"69","1648750165-4070","https://barrabrava.net/newells-old-boys/la-hinchada-mas-popular/letra/dejando-cualquier-cosa-de-lado-para-verte-a-vos/","""Dejando cualquier cosa de lado para verte a vos""","La Hinchada Más Popular"," Newell's Old Boys","Argentina","Leproso yo te sigo alentando como toda la vida, dejando cualquier cosa de lado para verte a vos, no hay dudas ya quedó demostrado por la historia y la gente, que somos el equipo más grande de todo el interior."
"70","1648748702-3391","https://barrabrava.net/velez-sarsfield/la-pandilla-de-liniers/letra/a-mi-me-volvio-loco-ser-de-liniers/","""A mi me volvió loco ser de Liniers""","La Pandilla de Liniers"," Vélez Sarsfield","Argentina","A mi me volvió loco ser de Liniers A mi me volvió loco ser de Liniers Te vinimos a ver Te vinimo´ a alentar Vamos los Fortineros Vamos a ganar"
"71","1648750666-4287","https://barrabrava.net/deportes-la-serena/los-papayeros/letra/me-dicen-el-matador-soy-de-serena/","""Me dicen el matador soy de serena""","Los Papayeros"," Deportes La Serena","Chile","Me dicen el matador soy de serena Vayas a donde vayas yo voy con ella Y el grana es un sentimiento Que se lleva en el corazón Yo daría toda la vida por salir campeón Dale Dale oh Dale Dale oh Dale Dale oh Dale Dale oh"
"72","1648749750-3911","https://barrabrava.net/villa-mitre/la-gloriosa/letra/y-vamos-villero-vaya-al-frente-y-ponga-huevo/","""Y vamos villero, vaya al frente y ponga huevo""","La Gloriosa"," Villa Mitre","Argentina","Alentemos todos juntos a que pongan huevo nuestros jugadores, que los partidos se ganan dentro de la cancha y hasta los tablones... Y vamos villero, vaya al frente y ponga huevo, y vamos villero, vaya al frente y ponga huevo."
"73","1648751240-4521","https://barrabrava.net/millonarios/comandos-azules/letra/la-guarderia-se-cago/","""La guardería se cago!!!!""","Comandos Azules"," Millonarios","Colombia","Se cago se cago, la guarderia se cago Escuchen todos se cago La guarderia se cago Santafeñero Yo no me olvido Como corriste Ese domingo Por que haya en soacha Tu te cagaste Y con los paisas tu te juntaste..."
"74","1648749116-3597","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/llora-me-llama/","""Llora, me llama""","Los de Siempre"," Oriente Petrolero","Bolívia","Yo te dije que te ibas a la B y que Chaco te iba correr.: yo te avise CAGON! sos de la B Decis que sos una banda de verdad pero a ver cuando vos te plantas, no te animas!! cagon ya no corrass El verde es mi pasion por eso yo te quiero; sentimineto que llevamos a todas partes donde vayas vos; mediste todo ALBIVER por eso yo te quiero y lo unico que verte campeon de nuevoo.. Esta es la banda albiverde que deja la vida que nunca abandonaa alta banda que estaaa.. y aunque estemos en las malas yo siempre aliento es un sentimiento que nunca nada lo podra terminar..."
"75","1648749018-3548","https://barrabrava.net/coquimbo-unido/al-hueso-pirata/letra/porque-yo-soy-machero/","""Porque yo soy machero""","Al Hueso Pirata"," Coquimbo Unido","Chile","Porque yo soy machero y hediondo a pescao a Coquimbo lo llevo aquí en mi corazón"
"76","1648752133-4930","https://barrabrava.net/santos-laguna/la-komun/letra/en-las-buenas-y-en-las-malas/","""En las buenas y en las malas""","La Komún"," Santos Laguna","México","En las buenas y en las malas, nunca me aleje de ti, y a mi no me importa nada, nada, nada. tan solo estar junto a ti, y esta es tu gente la que te alienta, todos queremos dar otra vuelta, hinchada como esta ninguna, te amo con todo santos laguna. loco, me estoy volviendo loco, loco, loco y guerrero, loco, me estoy volviendo loco, loco y guerrero.."
"77","1648752859-5284","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/para-ir-a-ver-a-river-de-la-cabeza/","""Para ir a ver a River de la cabeza""","Los Borrachos del Tablón"," River Plate","Argentina","Quiero que legalicen la marihuana para fumarme un porro por la mañana tomarme un vino blanco y una cerveza para ir a ver a River de la cabeza! Ooohh Millonario, oooh Millonariooo!"
"78","1648748582-3331","https://barrabrava.net/millonarios/comandos-azules/letra/la-fiesta-monumental/","""La Fiesta Monumental""","Comandos Azules"," Millonarios","Colombia","Si tu eres campeon otra vez Si me dieras una estrella otra vez La alegria de este dia A mi alma llegaria Al verte de nuevo en la cancha campeon Si el equipo nos da otro campeonato La fiesta seria monumental por que a las afueras del nemesio Los comandos armariamos carnaval (bis) Si la guardia llora otra vez Si la guarderia se caga otra vez Sera por que millonarios de la mano de los comandos Saca corriendo de aqui al santa fe (bis 2)"
"79","1648748825-3452","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/me-lo-digo-una-gitana-me-lo-dijo-con-fervor/","""Me lo digo una gitana, me lo dijo con fervor""","La Gloriosa Butteler"," San Lorenzo","Argentina","Una gitana hermosa tiró las cartas Me dijo que San Lorenzo va a ser campeón Ya lo corrimo' al globo y no pasó nada Vamo' a correr a Boca que es un cagón Me lo digo una gitana, me lo dijo con fervor O largas la marihuana o te vas para el cajón Me lo dijo una gitana y no le quise creer, Yo le sigo dando al vino a los fasos y al papel"
"80","1648749569-3822","https://barrabrava.net/belgrano/los-piratas-celestes-de-alberdi/letra/es-una-locura-que-no-tiene-cura-ni-explicacion/","""Es una locura que no tiene cura, ni explicacion""","Los Piratas Celestes de Alberdi"," Belgrano","Argentina","La tribuna esta de fiesta, llegan los piratas Somos la Banda mas loca, que no tiene ratas no me importa lo que diga toda la gilada. SOMOS LA PRIMER BARRAA A MI NO ME IMPORTA NADA Oooooohhh es una locura que no tiene cura, ni explicacion See que con esta Hinchada no nos queda, otra que salir Campeon yyyyyyyy que los jugadores jueguen en la cancha como aliento yoo CON EL CORAZOOONNNN!"
"81","1648750696-4302","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/que-te-pasa-quemero-todavia-seguis-esperando/","""Que te pasa quemero, todavía seguís esperando...""","La Gloriosa Butteler"," San Lorenzo","Argentina","que te pasa quemero todavia seguis esperando que te pasa quemero que en la quema estan todos llorando van pasando los años jugadores tambien dirigentes pero no se dan cuenta que el problema lo tiene tu gente que no alienta cuando el gloBo va perdiendo, ohhh que no estaba cuando te fuiste al descenso, ohhh que no aguanta cuando ve a San Lorenzo, yo se que duele, yo se que es feo, pero a tu hinchada le faltan huevos"
"82","1648753115-5407","https://barrabrava.net/cerro-porteno/la-plaza-y-comando/letra/es-un-sentimiento-no-puedo-parar/","""Es un sentimiento, no puedo parar""","La Plaza y Comando"," Cerro Porteño","Paraguay","ole ole ole, ole ole ole ola ole ole ole, ¡cada dia te quiero mas! yo soy de Cerro!!! Es un sentimiento, no puedo parar."
"83","1648753094-5396","https://barrabrava.net/cruz-azul/la-sangre-azul/letra/como-me-voy-a-olvidar/","""Como me voy a olvidar""","La Sangre Azul"," Cruz Azul","México","Como me voy a olvidar De aquel encuentro en Argentina Como me voy a olvidar Fue lo mejor que me pasó en la vida Quiso el destino el azar Que te alentará más cada día Y en una noche de alcohol Me hice un tatuaje que dice Azul Es mi ilusión volver a verte Sigo esperando esa suerte De ser campeón una vez más Y que ya nada nos pueda separar"
"84","1648753081-5390","https://barrabrava.net/penarol/barra-amsterdam/letra/hace-anos-que-yo-vengo-a-alentar-al-carbonero/","""Hace años que yo vengo a alentar al carbonero""","Barra Amsterdam"," Peñarol","Uruguay","Hace años que yo vengo a alentar al carbonero, vayas a donde vayas, contigo yo voy a estar. Pasaran los jugadores, cambien los dirigentes. Que se mueran las gallinas. Que nunca lo entenderan. Sigo esperando toda la semana para poder venirte a alentar. Voy con el bombo voy con las banderas, porque esta banda no te va a fallar."
"85","1648752417-5071","https://barrabrava.net/deportes-quindio/artilleria-verde-sur/letra/haber-si-nos-entendemos-los-jugadores-y-la-popular/","""Haber si nos entendemos los jugadores y la popular""","Artillería Verde Sur"," Deportes Quindío","Colombia","Haber si nos entendemos los jugadoresss y la popularrr ustedes matense en la cancha porque la tribuna empieza a alentar pongan más huevooos pongan más corazón vamos quindioooo hay que salir campeón porque esta hinchadaaaa se merece estar en primera."
"86","1648751059-4453","https://barrabrava.net/independiente-rivadavia/los-caudillos-del-parque/letra/re-loco-te-vengo-a-ver/","""Re Loco te vengo a Ver""","Los Caudillos del Parque"," Independiente Rivadavia","Argentina","Re Loco te vengo a ver, No podemos perder, Yo te sigo a donde vas, Vallas bien o vallas mal! Yo Soy Leproso, Vengo del parque y dejo todo por alentarte, Independiente mi genio amor! Daria la vida por ser campeon!"
"87","1648749486-3781","https://barrabrava.net/defensa-y-justicia/la-banda-de-varela/letra/muchacho-en-varela-me-emborracho-bien/","""Muchacho en Varela me emborracho bien""","La Banda de Varela"," Defensa y Justicia","Argentina","Muchacho en Varela me emborracho bien me emborracho bien borracho y nos vamos de la B Muchacho nos vamos a primera division ya veo a toda la Banda copando el monumental Como explico esta pasion Que llevo en el corazon Si te sigo y te acompaño De la cuna hasta el cajon Que se valla preparando Boca riber y el ciclon Los putos de avellaneda Que va llegando el halcon"
"88","1648749758-3915","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/hoy-te-vinimos-a-alentar/","""Hoy te vinimos a alentar""","La Banda de la Quema"," Huracán","Argentina","Dale dale dale gló Hoy te vinimos a alentar Para ser campeón Hoy hay que ganar"
"89","1648753252-5474","https://barrabrava.net/deportes-quindio/artilleria-verde-sur/letra/de-la-cuna-hasta-el-cajon/","""De la cuna hasta el cajon""","Artillería Verde Sur"," Deportes Quindío","Colombia","No importa que no se den los resultados Yo al milagroso lo quiero de verdad Nunca vas a ver una bandera negra Esta banda nunca te va abandonar Por este amor Yo te aliento desde la cuna hasta el cajon Porque yo Dejo todo por verte salir campeon Y al jugador Que deje la vida por estos colores Porque yo Dejo todo por verte salir campeon"
"90","1648753511-5600","https://barrabrava.net/america-de-cali/baron-rojo-sur/letra/te-sigo-hasta-la-muerte/","""Te sigo hasta la muerte""","Baron Rojo Sur"," América de Cáli","Colombia","Te voy a alentaar// Te sigo hasta la muerte// este amor se hace mas fuertee// te juro que siempre voy a estar Te voy a alentaar// Te sigo hasta la muerte// este amor se hace mas fuertee// te juro que siempre voy a estar América te quiero de verdad// lo siego visitante o de local// aunque la dimayor te descenido// esta pasion no desaparecio. Ahora yo le digo al nacional// que pronto volveremos a la A// que ya nos vamos a encontrar// te lo dice la barra de bogota ¡¡ ya lo veras!!"
"91","1648750292-4133","https://barrabrava.net/club-deportivo-olimpia/la-ultra-fiel/letra/vamos-olimpia-que-ganamos/","""Vamos, Olimpia Que Ganamos""","La Ultra Fiel"," Club Deportivo Olimpia","Honduras","Vamos, Olimpia que ganamos, ustedes pongan huevo, nosotros que alentamos."
"92","1648748818-3449","https://barrabrava.net/tigre/la-barra-del-matador/letra/mire-mire-que-locura/","""Mire mire que locura""","La Barra Del Matador"," Tigre","Argentina","mire mire que locura mire mire que emocion ya lo veo al funebrero esquibando balas por libertador"
"93","1648750923-4385","https://barrabrava.net/club-deportivo-olimpia/la-ultra-fiel/letra/y-vamos-vamos-leones-a-poner-mas-huevos/","""Y Vamos, Vamos Leones A Poner Más Huevos""","La Ultra Fiel"," Club Deportivo Olimpia","Honduras","Y vamos, vamos leones a poner más huevos, y vamos, vamos leones a ganar el juego. Y vamos, vamos los Ultras, cantemos todos, y vamos que estamos llenos de sentimiento. Yo soy del albo, yo soy del albo, yo soy del albo, yo soy del albo."
"94","1648751051-4449","https://barrabrava.net/xelaju/sexto-estado/letra/si-vamos-perdiendo/","""Si vamos perdiendo""","Sexto Estado"," Xelajú","Guatemala","Hay que cantar con mas huevos si vamos perdiendo Eso se llama señores tener sentimiento Cuando el equipo va mal la hinchada los hace ganar Hay que cantar con mas huevos si vamos perdiendo Eso se llama señores tener sentimiento Cuando el equipo va mal la hinchada los hace ganar Hay que cantar con mas huevos si vamos perdiendo Eso se llama señores tener sentimiento Cuando el equipo va mal la hinchada los hace ganar"
"95","1648754223-5941","https://barrabrava.net/internacional/guarda-popular/letra/hoje-eu-vim-te-ver/","""Hoje eu vim te ver""","Guarda Popular"," Internacional","Brasil","Colorado, hoje eu vim te ver! Ponha raça, não podemos perder! E levamos de todo o coração, essa barra que honra o Fernandão!"
