"id","order","start.url","titulo","barra","club","pais","cancion"
"1416","1648753315-5505","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/soy-de-boedo-soy-de-un-barrio-muy-descontrolado/","""Soy de Boedo soy de un barrio muy descontrolado""","La Gloriosa Butteler"," San Lorenzo","Argentina","y no me importa en que cancha jugues adonde vayas yo te voy a alentar, es la gloriosa la plaza butteler la que siempre juega de local, soy de Boedo soy de un barrio muy descontrolado, a San Lorenzo lo seguimos adonde vaya a jugar pasan los años y esta hinchada te sigue alentando como esta banda no existe otra igual"
"1417","1648752520-5122","https://barrabrava.net/monarcas-morelia/locura-81/letra/ni-la-policia-me-va-a-parar/","""Ni la policía me va a parar""","Locura 81"," Monarcas Morelia","México","Cada vez que te vengo alentar, ¿porque será?, Que te amo más, Cada vez que te vengo alentar, tu sabrás Que te amaré, Cada vez que te vengo alentar, ¿porque será?, Que te amo mas, Ni la policía me va a parar (¡Putos!), Ni ni Bautista ni los demás, Y comienza el carnaval, Y toda la banda empieza a cantar, Canarios! Oooooh, Canarios! Oooooh, Canarios! Oooooh, Dale campeón!"
"1418","1648754325-5992","https://barrabrava.net/gremio/geral-do-gremio/letra/cerveja-cocaina-e-lsd/","""Cerveja, cocaína e LSD""","Geral do Grêmio"," Grêmio","Brasil","Oh Imortal Tricolor Ganhas ou percas Te sigo, aonde for!"
"1419","1648751810-4775","https://barrabrava.net/melgar/leon-del-svr/letra/y-tengo-agvante/","""Y tengo agvante""","León del Svr"," Melgar","Peru","Señores, soy de areqvipa Y tengo agvante, Yo sigo a la rojinegra Por todas partes, Melgar es vn sentimiento, Qve lo llevo en el corazón, Yo daría toda mi vida Por ser campeón."
"1420","1648752651-5181","https://barrabrava.net/curico-unido/los-marginales/letra/vengo-del-barrio-de-la-granja/","""Vengo del Barrio de La Granja""","Los Marginales"," Curicó Unido","Chile","Vengo del barrio de la Granja, Barrio de fiesta & carnaval, Te juro que en los malos momentos, Siempre te voy a acompañar... Dale dale Curicó, Dale dale Curicó, Dale dale dale dale Curicó...!!"
"1421","1648754395-6026","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/cada-dia-te-quiero-mas/","""Cada dia te quiero más""","Los de Siempre"," Oriente Petrolero","Bolívia","Ole, ole, ole... Ole, ole, ola... Ole, ole, ole, cada dia te quiero más... Yo soy de Oriente... Porque es un sentimiento... Que no puedo parar.."
"1422","1648754292-5975","https://barrabrava.net/cerro-porteno/la-plaza-y-comando/letra/cerro-sos-mi-vida-mi-pasion-un-sentimiento/","""Cerro sos mi vida mi pasion un sentimiento""","La Plaza y Comando"," Cerro Porteño","Paraguay","Cerro sos mi vida mi pasión un sentimiento, vayas donde vayas voy con vos siempre te aliento, la mejor hinchada del pais de esos no hay duda, veni a barrio obrero a conocer esta locura... dale Ciclón dale dale dale dale Ciclón dale dale dale dale Ciclón.... ¡¡¡Cerro Porteño!!!"
"1423","1648754451-6054","https://barrabrava.net/universitario-de-deportes/trinchera-norte/letra/dale-campeon/","""Dale Campeón""","Trinchera Norte"," Universitario de Deportes","Peru","Garra crema eres mi vida Mi pasion y mi locura Porque somos mayoria en el peru No queda duda En la calle corremos a los pavos Y a los cagones Haz mi sueño realidad Quiero ganar la libertadores Dale campeon dale dale dale dale campeon Dale dale dale dale campeon vamos garra crema Dale campeon dale dale dale dale campeon Dale dale dale dale campeon vamos garra crema"
"1424","1648751536-4639","https://barrabrava.net/deportes-la-serena/los-papayeros/letra/si-yo-volviera-a-nacer-denuevo/","""Si yo volviera a nacer denuevo""","Los Papayeros"," Deportes La Serena","Chile","Si yo volviera a nacer denuevo te seguiria y viviria todo las canchas que yo recorri las alegrias que vivi porque tu eres lo mas grande del mundo El Sentimiento no se puede explicar mi camiseta yo la llevo en la piel Es un gran orgullo alentarte en el tablon porque te quiero Coro: Y si en el cielo tienes que jugar granate moriria por subir a acompañarte aqui estoy yo sigo esperando por una vuelta Mira tu hinchada armando el carnaval no le importan las copas solo quiere ir a alentarte aqui estoy yo sigo esperando por una vuelta"
"1425","1648753178-5438","https://barrabrava.net/universidad-catolica/los-cruzados/letra/vamos-vamos-cruzados/","""Vamos vamos cruzados""","Los Cruzados"," Universidad Católica","Chile","Vamos vamos crxzados pongan huevo todos que ganamos que si todos cantamos de seguro la vuelta la damos porque es un sentimiento de pendejo que lo llevo dentro porque donde tu has ido doy la vida por estar contigo"
